Escola,Endereco,Latitude,Longitude
EEFM BÁRBARA DE ALENCAR,"RUA PEDRO RUFINO 38 - VARJOTA, Fortaleza, Ceará, Brasil",,
EEFM CLÓVIS BEVILÁQUA,"AV DOM MANUEL 511 - CENTRO, Fortaleza, Ceará, Brasil",,
EEFM CONSTÂNCIA TÁVORA,"AV. DEPUTADO PAULINO ROCHA 50 - CAJAZEIRAS, Fortaleza, Ceará, Brasil",-3.8014987,-38.5118615
EEM DRAGÃO DO MAR,"RUA UMARI S/N - MUCURIPE, Fortaleza, Ceará, Brasil",-3.7258875,-38.4836548
EEFM PROFESSORA TELINA BARBOSA DA COSTA,"RUA DOUTOR PERGENTINO MAIA 0 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8315013,-38.4882165
EEFM DEPUTADO PAULINO ROCHA,"RUA PROF JOSE SILVEIRA 528 - PASSARE, Fortaleza, Ceará, Brasil",-3.8089433,-38.5256933
EEFM ESTADO DO PARÁ,"RUA DJALMA PETIT 589 - ALTO DA BALANCA, Fortaleza, Ceará, Brasil",-3.7652432,-38.5128053
EEFM MATIAS BECK,"RUA PROFESSORA AIDA BALAIO 38 - VICENTE PINZON, Fortaleza, Ceará, Brasil",-3.7270179,-38.4788233
EEFM PARÓQUIA DA PAZ,"R VISCONDE DE MAUA 905 - ALDEOTA, Fortaleza, Ceará, Brasil",-3.7334063,-38.498384
EEFM PROFESSOR ALOYSIO BARROS LEAL,"RUA 10 28 - BARROSO, Fortaleza, Ceará, Brasil",-3.8255199,-38.5184437
EEFM RENATO BRAGA,"AVENIDA RUI BARBOSA 2000 - JOAQUIM TAVORA, Fortaleza, Ceará, Brasil",-3.7466307,-38.5128606
EEFM SANTA LUZIA,"RUA JOAO CORDEIRO 711 - MEIRELES, Fortaleza, Ceará, Brasil",-3.7268212,-38.513248
EEFM JOSÉ DE ALENCAR,"RUA VENEZA 84 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8363041,-38.4940512
EEFM PROFESSORA MARIA GONÇALVES,"RUA NOSSA SENHORA MONTE CARMELO 50 - CASTELAO, Fortaleza, Ceará, Brasil",,
EEFM JONHSON,"RUA DOUTORA SOCORRO AZEVEDO 461 - LUCIANO CAVALCANTE, Fortaleza, Ceará, Brasil",-3.7680406,-38.4940825
EEFM MIRIAN PORTO MOTA,"RUA GUAJIRU 100 0 - JARDIM DAS OLIVEIRAS, Fortaleza, Ceará, Brasil",-3.7811902,-38.508579
EEFM PADRE ROCHA,"RUA CORONEL ALVES TEIXEIRA 525 - JOAQUIM TAVORA, Fortaleza, Ceará, Brasil",-3.745277,-38.5175166
EEFM GOVERNADOR VIRGÍLIO TÁVORA,"RUA ALMEIDA REGO  - PARQUE IRACEMA, Fortaleza, Ceará, Brasil",,
EEFM POLIVALENTE MODELO DE FORTALEZA,"AV A 482 - JOSE WALTER, Fortaleza, Ceará, Brasil",-3.8236921,-38.5546716
EEFM PADRE GUILHERME WAESSEN,"RUA BOA VENTURA 916 - DIAS MACEDO, Fortaleza, Ceará, Brasil",-3.7881507,-38.5246675
EEFM HELENITA MOTA,"RUA AMANCIO FILOMENO 720 - SERVILUZ, Fortaleza, Ceará, Brasil",-3.7110869,-38.4686925
INSTITUTO CEARENSE DE EDUCAÇÃO DOS SURDOS,"AVENIDA RUI BARBOSA 1970 - ALDEOTA, Fortaleza, Ceará, Brasil",-3.7402834,-38.5111206
EEFM IRACEMA,"RUA EGIDIO DE OLIVEIRA 250 - ALAGADICO NOVO, Fortaleza, Ceará, Brasil",,
EEEP JOAQUIM ANTÔNIO ALBANO,"RUA JULIO SIQUEIRA 390 - DIONISIO TORRES, Fortaleza, Ceará, Brasil",-3.7495449,-38.5100489
EEEP JOSÉ DE BARCELOS,"RUA ANGELICA GURGEL 362 - MESSEJANA, Fortaleza, Ceará, Brasil",-3.8359517,-38.4995309
COLÉGIO ESTADUAL JUSTINIANO DE SERPA,"AV. SANTOS DUMONT 56 - CENTRO, Fortaleza, Ceará, Brasil",-3.7290504,-38.5230049
COLÉGIO ESTADUAL LICEU DO CEARÁ,"PRACA GUSTAVO BARROSO S-N - JACARECANGA, Fortaleza, Ceará, Brasil",-3.7237921,-38.5409066
EEFM DONA LUÍZA TÁVORA – PROMORAR,"RUA FREI CANECA, - JARDIM DAS OLIVEIRAS 379 - JARDIM DAS OLIVEIRAS, Fortaleza, Ceará, Brasil",-3.786148,-38.5071763
EEFM DONA LUÍZA TÁVORA – PIO XII,"RUA ANA GONCALVES 947 - SAO JOAO DO TAUAPE, Fortaleza, Ceará, Brasil",-3.7589562,-38.5075634
EEFM PROFESSORA MARIA DA CONCEIÇÃO PORFÍRIO TELES,"RUA MONTE CRISTO 177 - AEROLANDIA, Fortaleza, Ceará, Brasil",-3.7795176,-38.5123834
EEEP MARIA JOSÉ MEDEIROS,"RUA: DESEMBARGADOR LAURO NOGUEIRA 1240 - PAPICU, Fortaleza, Ceará, Brasil",-3.7419047,-38.4740314
EEFM INTEGRADA 2 DE MAIO,"AV DA SAUDADE s/n - PASSARÉ, Fortaleza, Ceará, Brasil",-3.8229445,-38.541458
EEFM DEPUTADO MANOEL RODRIGUES,"RUA OLIVEIRA FILHO 1576 - VICENTE PINZON, Fortaleza, Ceará, Brasil",-3.7313507,-38.46223
